gene	log2FC_per_decade	P	FDR	log2FC_adj	P_adj	FDR_adj
LSM3	-0.0469587739280103	6.26495935628322e-05	0.000257883210712123	-0.0195797867191499	0.0572503693803956	0.211322288232649
LSM4	-0.0768400249668108	0.000469065880146483	0.00116615743952066	-0.000604331334002625	0.964472498120615	0.981101334295108
LSM6	-0.0350080887847325	0.0189956661929005	0.0264742749302628	-0.0124425249903104	0.405693950087428	0.641141331834595
LSM7	-0.056770476979509	0.00142436326108226	0.00268204571501659	-0.0131095213108439	0.396819990144998	0.63851943868786
MAGOH	-0.0542518050852362	3.47815416629255e-06	3.07816643716891e-05	-0.039305922663186	0.00081521261098002	0.01958180994213
NCBP1	-0.0239457007584082	0.0102589993029443	0.0153884989544165	-0.00120923977323354	0.883288945556538	0.930607996211352
NDC1	-0.129304539728433	7.33904172705175e-05	0.000276385188444289	-0.00559456555228199	0.716004851954552	0.828877149007771
NUDT21	-0.0282436863410043	0.0365928795894752	0.0472769320243585	-0.00767071857002326	0.571786845842921	0.76080061020177
NUP107	-0.100307449221043	1.47707882566914e-06	1.74295301428959e-05	-0.02524950717647	0.0208554019214222	0.112963496273707
NUP153	-0.0387180174352724	0.0015358531091565	0.00286153684548106	-0.00199317157916515	0.829726842148167	0.894657492390448
NUP155	-0.0744955635629592	0.000473991661225398	0.00116615743952066	0.00826457320778091	0.387031735102028	0.629126127504917
NUP188	-0.0630620857649727	0.000774915700667877	0.00168680623032279	0.00402843294620916	0.713556719933445	0.828877149007771
NUP205	-0.0889861746788669	3.36964649948787e-05	0.000161196602813339	-0.00635722166322172	0.495687871427654	0.707554461634635
NUP214	-0.0364291424586429	0.00524130297472587	0.00843373296842254	-0.000242550419988746	0.981838176752003	0.987416802756275
NUP35	-0.114070714874647	1.97858744235875e-05	0.000116814358297414	-0.0222731490399976	0.169507618924229	0.416706229855396
NUP37	-0.0636455869417744	1.27720157853657e-05	8.37276590373975e-05	-0.0184754864785233	0.0733012153254352	0.249368529894034
NUP43	-0.0220740521503188	0.0807700733189232	0.096596641739523	0.0176073784780645	0.0656264015305114	0.227762217076481
NUP50	-0.0347206797892673	0.0552911809673408	0.0684373358826526	0.0289753399823344	0.0136852969238763	0.0898969692199177
NUP54	-0.0313067414279734	0.004717983660274	0.00773225099878239	-0.0111124809401006	0.29892781811323	0.553052570958247
NUP58	-0.0458761265983437	0.00203024635433865	0.00362983439109031	-0.012996772978673	0.336693827647941	0.578590364016365
NUP62	-0.0753251076510251	0.000161704355659227	0.000520394017303331	-0.00155872461335711	0.881668222585774	0.930607996211352
NUP85	-0.076396860578661	8.95340388185445e-05	0.000316950497417647	-0.00492797495358959	0.634476581889063	0.790861654889888
NUP88	-0.0604611661846303	6.33642310780738e-07	1.17486903157555e-05	-0.0265556162894073	0.00449817272244224	0.044232031770682
NUP93	-0.0699507048114276	0.000246733014163021	0.000715930221423847	0.00250498132230307	0.785844461736488	0.863784343357269
NXT1	-0.0430430417253496	0.0283031881367711	0.0379520022743066	0.0204515531781871	0.148895852789296	0.37937092942509
PABPN1	-0.0302029066060711	6.62951953482239e-05	0.000264309525449982	-0.0246694906290413	0.00192658922807536	0.0288239310273779
PAPOLA	-0.00824754552458647	0.426883273442669	0.459156702222678	-0.00769686682888613	0.492907629513381	0.707554461634635
PCBP1	-0.0207814405812133	0.00161541625757784	0.00297842372490914	-0.00555768020104328	0.347166945888919	0.590851436753257
PCBP2	-0.00492731602425522	0.474281888496352	0.499689846808656	-0.00309693939581191	0.677308691203357	0.821120810568453
PCF11	-0.0222181171553009	0.014059448620323	0.0205663008743568	-0.0204322038734689	0.0359751279968953	0.155307259889036
PHF5A	-0.0322116621341002	0.00244786344379124	0.0042477630348142	-0.00804231666040615	0.401720406274744	0.640581188384051
PNN	-0.0399013907303243	1.11395173198026e-05	7.60454540657974e-05	-0.0282451277654621	0.00200515131608706	0.0288239310273779
POLDIP3	-0.00865896051338895	0.194944787078679	0.225524361522393	0.00250271867061721	0.707797182313094	0.828877149007771
POLR2B	-9.91621591931439e-05	0.990799288790212	0.990799288790212	-0.00959540832888878	0.288378264186951	0.553052570958247
POLR2C	-0.00133358102540575	0.867072720988146	0.887120645172843	-0.00180789554293747	0.834002747143638	0.894657492390448
POLR2E	-0.0661118823787663	0.00063980576407842	0.00145186692617795	-0.0170940313711006	0.299960716451931	0.553052570958247
POLR2F	-0.0344976050634144	0.00797785533444921	0.0124962866743143	-0.0100338585137309	0.421588797760342	0.660364754013986
POLR2G	-0.00826299141978034	0.295334450428836	0.330849352695595	-0.0089606179188496	0.294516761755751	0.553052570958247
POM121	-0.00718298474768997	0.449994053867327	0.479812936954921	0.00617917043389865	0.526293121626628	0.739316527999311
PPIE	-0.00101288174009064	0.884821430696082	0.900076972604636	-0.0116153716459181	0.104838421899593	0.299806331917234
PPIH	-0.119792308832431	2.10074089395431e-09	1.85915569114957e-07	-0.0513337703656369	3.96441990296737e-06	0.000350851161412612
PPIL1	-0.0767474936076803	5.31627233093549e-07	1.17486903157555e-05	-0.0382777958269019	0.0025290819070582	0.0319748212535215
PPP1CA	-0.0412758885238066	0.000822016568113146	0.00175297509103647	-0.00269565050440583	0.762828941936784	0.863784343357269
PQBP1	-0.0361923467506559	0.0077292450083233	0.0122149675577966	-0.00814331559907565	0.522222832836577	0.739316527999311
PRCC	-0.0102486018831206	0.214950098144756	0.247053034880661	0.000597422058821759	0.944041251868269	0.971484311515602
PRPF19	-0.0535969415638559	3.33822796648532e-05	0.000161196602813339	-0.0183743168236658	0.0756951850379483	0.249368529894034
PRPF3	-0.027691218506943	0.000111137419878865	0.00037829467920306	-0.00992624781797314	0.105833797173931	0.299806331917234
PRPF31	-0.0551116325029373	0.000316828185591777	0.000876227950777259	-0.0108745002956072	0.359400535688096	0.605846617302791
PRPF38A	-0.0192715464153381	0.0178876673480067	0.0252112317361493	-0.0201558523151594	0.0219960186054266	0.114468235000616
PRPF4	-0.0524133113063594	0.000906847183372387	0.00184496495927486	0.00336159630941653	0.724126182726226	0.832274898328195
PRPF40A	-0.0197661226476488	0.0303045389626319	0.040029129823775	-0.0108365437606944	0.256385129665815	0.513701599307036
PRPF8	-0.044376064053994	0.000177122554505977	0.000550012142939613	-0.0111343702037244	0.234335655010834	0.496550903378808
PTBP1	-0.0586084691150574	0.00137672489719165	0.00264406856472438	0.00573972496842886	0.608941934071186	0.771233204176468
