tissue	programme	n_genes	n	rho_prolif	p_prolif	rho_prolif_raw	beta_age	p_age	beta_age_adj	p_age_adj	attenuation	FDR_prolif	FDR_age
legskin	cellular senescence	126	739	0.18541762000292	4.06917119247721e-07	0.241206604802763	-0.00634753336362138	0.199468614458078	-0.00427438203053944	0.377866828789039	0.326607394450807	8.47743998432752e-07	0.240424780206036
legskin	interleukin signalling	425	739	-0.0161162813032512	0.662467505174519	0.00287783410328709	0.00640732323537119	0.337444486070169	0.00735626892595495	0.271144476379881	-0.148103296138577	0.662467505174519	0.351504672989759
legskin	cell cycle (positive control)	465	739	0.67006501864748	4.45108428110961e-97	0.701407176343643	-0.0231816501956772	0.00496418101629875	-0.0121161064005893	0.0439169435019026	0.477340642347856	1.1127710702774e-95	0.0310261313518672
pubskin	splicing 96	96	626	0.0555195866517878	0.166342605247558	0.0725449837198282	-0.0229921652637886	0.158417687447893	-0.0239942439840386	0.138486671876819	-0.0435834863203677	0.244621478305233	0.777573461762558
pubskin	pre-mRNA processing	290	626	-0.0247205955638443	0.537973565345669	0.0376091352400752	-0.00102273593999981	0.926816891650229	-0.00126131560217959	0.909820521284462	-0.233275914973539	0.672466956682086	0.965182636288832
pubskin	mRNA splicing	201	626	-0.0443544888943241	0.268983122833494	0.011540070623844	-0.0024833062400425	0.839325217232991	-0.00262489758419015	0.830425498119817	-0.0570172707113341	0.353925161623019	0.953778655946581
pubskin	translation	366	626	0.0891715119922956	0.0260353860537783	0.0725812311784399	-0.013967569358112	0.372077749572931	-0.0153284325566461	0.320446383727687	-0.0974302087674088	0.054240387612038	0.777573461762558
pubskin	rRNA processing	191	626	0.00659574116819787	0.86949446688508	0.000824128284696639	-0.0253102731397909	0.175851903985893	-0.0261161874554346	0.161383551523075	-0.0318413914852871	0.86949446688508	0.777573461762558
pubskin	proteasome	289	626	0.0162387880826085	0.685821322837334	0.0688257792316982	0.00242084485344013	0.707663629866054	0.00218976666150343	0.734062833133203	0.0954535321040191	0.779342412315153	0.913666945407507
pubskin	autophagy	141	626	-0.0972784688995215	0.0151424403783147	-0.118784022501796	-0.0133257154743319	0.155194768602828	-0.0132024867624922	0.159324080430532	0.00924743681320928	0.0378561009457867	0.777573461762558
pubskin	chaperone / HSF1	36	626	0.0676438479294373	0.0916167961727139	0.0774284604919211	-0.0227245528376099	0.0902696689801042	-0.0232370973731448	0.0826745620917418	-0.0225546587956014	0.152694660287857	0.777573461762558
pubskin	unfolded protein response	90	626	-0.0758650748276442	0.0584223923646289	-0.059970980020484	-0.0177155660237064	0.0533584421539985	-0.0174202860316624	0.0571848243619807	0.0166678271328701	0.104325700651123	0.777573461762558
pubskin	DNA double-strand repair	169	626	0.583099194399009	5.07658755091318e-58	0.63375802620114	0.00811317985861951	0.365142800140242	0.00529229903332812	0.448201248533044	0.347691148778671	4.23048962576099e-57	0.777573461762558
pubskin	base excision repair	43	626	0.583435400583946	4.21859284303593e-58	0.6143167188957	0.00792235415427529	0.455247056845544	0.00472919994886828	0.577684198182691	0.40305623091639	4.23048962576099e-57	0.784234383232715
pubskin	telomere maintenance	63	626	0.517849170704863	4.8855776257571e-44	0.547721332375376	-0.0032582684692978	0.760660156706639	-0.00627529508381369	0.478519670528101	-0.925960105173933	3.05348601609819e-43	0.913666945407507
pubskin	chromatin organisation	298	626	0.0206917467936469	0.606215320898341	0.0960588715471514	-0.00702592766417903	0.348818051107658	-0.00730912855136918	0.328866017105758	-0.0403079708084697	0.721684905831358	0.777573461762558
pubskin	mitochondrial translation	132	626	0.134410835104025	0.000769812989771228	0.00244039316997111	-0.0130214381988186	0.367388371280383	-0.0143817468241323	0.311319031704957	-0.104466849555615	0.00274933210632581	0.777573461762558
pubskin	respiratory electron transport	154	626	0.244990433679319	5.74181373033889e-10	0.216880847486127	0.00614697190483186	0.685483644551055	0.00429707164377007	0.77061202609925	0.300944967652718	2.87090686516945e-09	0.913666945407507
pubskin	TCA cycle	33	626	0.177602299096565	8.21336854332645e-06	0.208918733662504	0.0127031738987302	0.40433820011653	0.0110390823028097	0.458217979425982	0.130998096159794	3.42223689305269e-05	0.777573461762558
pubskin	interferon signalling	317	626	0.0609143433664032	0.128818579126571	0.144001296299127	0.000522461164300245	0.947796985336637	5.03390799003842e-05	0.994936436939222	0.903650101978765	0.201279029885268	0.965182636288832
pubskin	NF-kB / TNF	33	626	-0.123514487059939	0.00201128829859119	-0.0759167800418851	-0.00514079786474744	0.652627584471719	-0.00476282999361585	0.676304082326087	0.0735231925229886	0.00628527593309747	0.913666945407507
pubskin	extracellular matrix	311	626	-0.0139925218215449	0.727413230723596	0.00922532063530887	-0.00617014933696543	0.630166514197194	-0.0057558272868316	0.652966675993007	0.0671494363437244	0.790666555134344	0.913666945407507
pubskin	collagen formation	90	626	0.085666857238944	0.0325265519710632	0.119066909213201	-0.0113311630947468	0.383288622524026	-0.0114838183465259	0.377271327711902	-0.013472160845506	0.0625510614828138	0.777573461762558
pubskin	insulin / IGF signalling	71	626	-0.114145375055414	0.00433533448578024	-0.129794053533485	-0.00797721508310673	0.258235284470393	-0.00766824864688172	0.275764293268071	0.0387311151832058	0.012042595793834	0.777573461762558
pubskin	mTOR signalling	23	626	-0.00668721586132045	0.86770104337387	-0.0228178730299463	-0.0145993769306162	0.255056570508515	-0.0150783656923451	0.238985416220127	-0.0328088495834693	0.86949446688508	0.777573461762558
pubskin	cellular senescence	126	626	0.0469517342586789	0.241918208470615	0.118631254872587	-0.00391834859657702	0.470540629939629	-0.00426845692098387	0.428468570862111	-0.0893509895246931	0.335997511764743	0.784234383232715
pubskin	interleukin signalling	423	626	-0.0947375269425379	0.0180194348903792	-0.0631474020514545	-0.000331814642605672	0.965182636288832	-8.86625831171267e-05	0.990684367521511	0.732794844673286	0.0409532611144982	0.965182636288832
pubskin	cell cycle (positive control)	465	626	0.59664209609123	2.46109281519938e-61	0.66322241619151	0.00250624539230018	0.767480234142306	-0.000287965261591076	0.964080218341867	1.11489906873277	6.15273203799845e-60	0.913666945407507
muscle	splicing 96	96	839	-0.115199121256736	0.000847000299474975	-0.133492882561554	0.0119767265331251	0.308535956821393	0.0155313797283716	0.187794934481492	-0.296796723663603	0.00117638930482635	0.539934409783328
muscle	pre-mRNA processing	288	839	-0.131491104268675	0.000137419497941498	-0.160896432726603	0.00750187815025512	0.408215065519193	0.0110378194371637	0.223490476786835	-0.471340805074043	0.000229032496569163	0.637836039873739
muscle	mRNA splicing	201	839	-0.139065896398185	5.4716888922937e-05	-0.164816560718177	0.00689177232600448	0.476724094470719	0.0111675263544717	0.247719516844424	-0.620414289127579	9.77087302195304e-05	0.701064844809881
muscle	translation	366	839	-0.212899145679817	5.0383893414884e-10	-0.219281961421285	-0.0374112570634555	0.00181983217053083	-0.0307426837019393	0.00969571973307315	0.178250448794203	1.14508848670191e-09	0.00747301181830765
muscle	rRNA processing	191	839	-0.10748026952353	0.00185813455726043	-0.116449798377511	-0.0158696110401401	0.254571460261697	-0.0113592240123531	0.415488090413431	0.284215348213547	0.00244491389113215	0.489560500503264
muscle	proteasome	290	839	-0.366573986289752	5.49531115714089e-28	-0.370198538109962	-0.0234125595853766	0.000242106314181055	-0.0170777983386863	0.00507903056316487	0.270571067789057	1.37382778928522e-26	0.00220982558303704
muscle	autophagy	139	839	-0.325692857610187	4.1354968129482e-22	-0.328959170379232	-0.0216286846242631	0.00329991483132381	-0.0152937492606339	0.0319633982150418	0.292895082326117	3.4462473441235e-21	0.00916643008701059
muscle	chaperone / HSF1	35	839	-0.310364285897154	3.99510490851177e-20	-0.30765240957466	-0.0114569916640561	0.323960645869997	0.00163281708867167	0.881449494649274	1.14251708795375	2.49694056781985e-19	0.539934409783328
muscle	unfolded protein response	90	839	-0.160598479266999	3.05826921452132e-06	-0.181869824572383	-0.00997224649829041	0.151185615811736	-0.00788759756755299	0.257290778270968	0.209045066334331	6.37139419691941e-06	0.314970032941118
