gene	rho	mean_logcpm	in_set	named	log2FC_per_division_per_day	P	FDR
ACKR1	-0.397831423711264	-1.06768560297983	FALSE	FALSE			
ACKR2	-0.381243648189576	1.82712622010366	FALSE	FALSE			
ACKR3	-0.377349202892128	4.55867108992451	FALSE	FALSE			
ACKR4	-0.0232075205098718	5.13759558214392	FALSE	FALSE			
ACLY	0.395776404021434	6.72847223702393	FALSE	FALSE			
ACMSD	-0.289506333407259	-1.79784145203645	FALSE	FALSE			
ACO1	0.169235106390877	6.54187697732371	FALSE	FALSE			
ACO2	-0.0413522961397437	5.64963579657957	FALSE	FALSE			
ACOT1	0.17422150626832	2.57081041503914	FALSE	FALSE			
ACOT11	-0.198296877319502	4.91010693491599	FALSE	FALSE			
ACOT13	-0.312434696542439	3.82643509271236	FALSE	FALSE			
ACOT2	0.164227452336775	3.49060440732373	FALSE	FALSE			
ACOT4	-0.309053072019401	0.116946860293248	FALSE	FALSE			
ACOT7	0.21940618550967	4.10980118949987	FALSE	FALSE			
ACOT8	-0.215909108299025	2.56652721977011	FALSE	FALSE			
ACOT9	0.206383496421028	5.27790494441244	FALSE	FALSE			
ACOX1	-0.326858801023221	5.82953162873464	FALSE	FALSE			
ACOX2	0.0992175572422439	3.31210139405606	FALSE	FALSE			
ACOX3	0.00261528392944683	4.17684179916688	FALSE	FALSE			
ACOXL	-0.286693678174901	2.24569436907477	FALSE	FALSE			
ACP1	0.43352892276892	5.28370781262625	FALSE	FALSE			
ACP2	-0.0385443643530663	4.44006710405039	FALSE	FALSE			
ACP3	0.00853635747961436	0.269479748152228	FALSE	FALSE			
ACP4	0.294381389335218	-0.825544934878369	FALSE	FALSE			
ACP5	0.31531762536439	-0.442985736847011	FALSE	FALSE			
ACP6	-0.0821482337925482	0.180026722384149	FALSE	FALSE			
ACP7	-0.184769529060286	2.01683549049194	FALSE	FALSE			
ACRBP	-0.00409634255229807	-2.04200202057972	FALSE	FALSE			
ACRV1	0.395798854624678	-1.4755444362437	FALSE	FALSE			
ACSBG1	0.20124695703967	2.82319361227237	FALSE	FALSE			
ACSBG2	-0.234565743276005	-0.978753874139657	FALSE	FALSE			
ACSF2	0.316447825162347	3.17241845642468	FALSE	FALSE			
ACSF3	4.82894893675898e-05	3.70735165914912	FALSE	FALSE			
ACSL1	-0.094902279246962	5.15916389908676	FALSE	FALSE			
ACSL3	0.397537100015806	6.59718757795864	FALSE	FALSE			
ACSL4	0.534836700760445	6.35296362718376	FALSE	FALSE			
ACSL5	0.441475944438154	0.691960611356007	FALSE	FALSE			
ACSL6	-0.086463861013389	0.00739673714183053	FALSE	FALSE			
ACSM2A	-0.08832606695548	-0.450197789260505	FALSE	FALSE			
ACSM3	-0.196820865426512	-2.28664121747622	FALSE	FALSE			
ACSM4	-0.128890712790335	-1.67743631726169	FALSE	FALSE			
ACSM5	-0.0978319620194273	-2.71375943195498	FALSE	FALSE			
ACSM6	0.349744298741992	-1.24715533912941	FALSE	FALSE			
ACSS1	0.301093977977826	2.62373827520104	FALSE	FALSE			
ACSS2	0.0369098331513387	4.22526020475701	FALSE	FALSE			
ACSS3	-0.376270000818127	3.68171480353314	FALSE	FALSE			
ACTA1	0.206638616811794	-1.27496001017222	FALSE	FALSE			
ACTA2	-0.137837756497627	8.65129598272198	FALSE	FALSE			
ACTA2-AS1	-0.309175156010126	1.76847993255324	FALSE	FALSE			
ACTB	0.491045105273985	12.7409450055271	FALSE	FALSE			
ACTBL2	-0.124087922229634	-2.86532872467911	FALSE	FALSE			
ACTC1	0.21427474713071	3.58484808273901	FALSE	FALSE			
ACTE1P	-0.248467956438296	0.0502713963971807	FALSE	FALSE			
ACTG1	0.521279426620494	10.5199438692174	FALSE	FALSE			
ACTG1P17	-0.0557000556179689	-0.298962821272673	FALSE	FALSE			
ACTG1P20	0.12578986896724	2.93798434635115	FALSE	FALSE			
ACTG1P25	-0.0925082087881745	0.327898466387891	FALSE	FALSE			
ACTG1P4	-0.210592879515081	-1.47546909527272	FALSE	FALSE			
ACTG2	0.154356515719302	-0.58789173252886	FALSE	FALSE			
ACTL10	-0.000676562951386056	0.327356493235546	FALSE	FALSE			
ACTL6A	0.627487907649177	4.15791893765463	FALSE	FALSE			
ACTMAP	-0.0926930351083948	3.62102429904869	FALSE	FALSE			
ACTN1	0.174266225056009	9.5995308630956	FALSE	FALSE			
ACTN1-DT	-0.184095163021385	-1.36090459662137	FALSE	FALSE			
ACTN3	-0.13682683576177	-2.44583633813209	FALSE	FALSE			
ACTN4	0.362467368462833	9.27191667209927	FALSE	FALSE			
ACTR10	0.0633683925228595	5.36059325011917	FALSE	FALSE			
ACTR1A	0.0523250623980489	6.29128805971164	FALSE	FALSE			
ACTR1B	0.185355124135575	5.00998287550701	FALSE	FALSE			
ACTR2	0.249520463266413	8.53176283893835	FALSE	FALSE			
ACTR3	0.486534798953687	8.30405590719249	FALSE	FALSE			
ACTR3-AS1	-0.116810064345827	0.723120229099546	FALSE	FALSE			
ACTR3B	-0.17557922307325	1.6686720239966	FALSE	FALSE			
ACTR3C	-0.0828700347905954	2.8052664218085	FALSE	FALSE			
ACTR5	0.328405254916876	1.95091656509072	FALSE	FALSE			
ACTR6	0.298515931365884	3.27899263079062	FALSE	FALSE			
ACTR8	0.283494499504298	4.84805432360442	FALSE	FALSE			
ACTRT3	-0.336649665025913	0.629003151662613	FALSE	FALSE			
ACVR1	-0.0286161133524552	6.41265522605134	FALSE	FALSE			
ACVR1B	-0.436244186345368	4.69577508057821	FALSE	FALSE			
ACVR1C	0.0947696442912073	-0.45567657796733	FALSE	FALSE			
ACVR2A	-0.318340807152239	4.91327872739527	FALSE	FALSE			
ACVR2B	-0.415493308590365	2.97818973894257	FALSE	FALSE			
ACVR2B-AS1	-0.338906008419955	1.7703900912309	FALSE	FALSE			
ACVRL1	0.410079784778797	5.36724069408497	FALSE	FALSE			
ACY1	0.106302509506218	2.44468355042957	FALSE	FALSE			
ACYP1	0.131675575567448	-0.212404981183264	FALSE	FALSE			
ACYP2	-0.514894331885523	3.09976922806891	FALSE	FALSE			
ADA	0.145305624008277	3.41289405870695	FALSE	FALSE			
