splicing_definition	selection	comparator	side	metric	model	n_donors	n_genes	beta	lo	hi	p	FDR
reactome_premrna_processing	unselected	metabolism_of_rna	comparator	metabolism_of_rna	technical covariates only	107	467	-0.0608860577912979	-0.0893213725119822	-0.0324507430706135	4.81621810440892e-05	0.000337135267308625
reactome_premrna_processing	unselected	rrna_processing	comparator	rrna_processing	technical covariates only	107	226	-0.0750092152060324	-0.112232297899551	-0.0377861325125142	0.000121932660719372	0.000426764312517801
reactome_premrna_processing	unselected		splicing	splicing	+ proliferation score	107	286	-0.0372696457955786	-0.0619808495375456	-0.0125584420536115	0.00348830899723978	0.00976726519227137
reactome_premrna_processing	unselected	translation	comparator	translation	+ proliferation score	107	360	-0.0316401318924166	-0.0632671065422173	-1.31572426158369e-05	0.0499065803225033	0.0776324582794496
reactome_premrna_processing	unselected	metabolism_of_rna	comparator	metabolism_of_rna	+ proliferation score	107	467	-0.0222271530477306	-0.0465894644127142	0.00213515831725295	0.0732848922657828	0.101996084813665
reactome_premrna_processing	unselected	rrna_processing	comparator	rrna_processing	+ proliferation score	107	226	-0.030334405238651	-0.0643776569964695	0.00370884651916753	0.0801397809250229	0.101996084813665
reactome_premrna_processing	unselected	translation	splicing	splicing	+ proliferation + translation	107	281	-0.0214847716956492	-0.041139809503403	-0.00182973388789532	0.0324823795310357	0.0568441641793125
reactome_premrna_processing	unselected	translation	comparator	translation	+ proliferation + splicing	107	360	-0.001380235762079	-0.0269354432114744	0.0241749716873164	0.914872990618427	0.914872990618427
reactome_premrna_processing	unselected	metabolism_of_rna	splicing	splicing	+ proliferation + Metabolism of RNA	107	286	-0.019621756227865	-0.0353304194668429	-0.00391309298888711	0.0148851750257016	0.0347320750599704
reactome_premrna_processing	unselected	metabolism_of_rna	comparator	metabolism_of_rna	+ proliferation + splicing	107	467	0.00653446925916583	-0.00937236742819005	0.0224413059465217	0.41696656920332	0.486460997403874
reactome_premrna_processing	unselected	rrna_processing	splicing	splicing	+ proliferation + rRNA processing	107	281	-0.0226137866185255	-0.0413176686099206	-0.00390990462713049	0.018311584303399	0.036623168606798
reactome_premrna_processing	unselected	rrna_processing	comparator	rrna_processing	+ proliferation + splicing	107	226	0.00421930163408955	-0.0222756582124494	0.0307142614806285	0.752679111165754	0.81057750433235
mrna_splicing_not_selected	selected against		splicing	splicing	technical covariates only	107	82	-0.0350402170235847	-0.0597409745137989	-0.0103394595333705	0.00588034541735254	0.0177119181609317
mrna_splicing_not_selected	selected against	translation	comparator	translation	technical covariates only	107	365	-0.0676303540240771	-0.10089251663053	-0.034368191417624	0.000106922200189577	0.00061216450753582
mrna_splicing_not_selected	selected against	metabolism_of_rna	comparator	metabolism_of_rna	technical covariates only	107	671	-0.0788599650425085	-0.111136444310083	-0.0465834857749337	4.54954793387525e-06	6.36936710742535e-05
mrna_splicing_not_selected	selected against	rrna_processing	comparator	rrna_processing	technical covariates only	107	230	-0.074554779478129	-0.111739253532714	-0.0373703054235442	0.000131178108757676	0.00061216450753582
mrna_splicing_not_selected	selected against		splicing	splicing	+ proliferation score	107	82	-0.0379554975047419	-0.0649527150196673	-0.0109582799898166	0.00632568505747561	0.0177119181609317
mrna_splicing_not_selected	selected against	translation	comparator	translation	+ proliferation score	107	365	-0.0316461303930769	-0.0632758541832842	-1.64066028696952e-05	0.0498835420603713	0.0775966209827998
mrna_splicing_not_selected	selected against	metabolism_of_rna	comparator	metabolism_of_rna	+ proliferation score	107	671	-0.0267166145684602	-0.0504972869731097	-0.00293594216381075	0.0280581045276454	0.0654689105645059
mrna_splicing_not_selected	selected against	rrna_processing	comparator	rrna_processing	+ proliferation score	107	230	-0.0301197504769775	-0.0641912265023486	0.00395172554839364	0.0825175919643069	0.113795917567835
mrna_splicing_not_selected	selected against	translation	splicing	splicing	+ proliferation + translation	107	82	-0.0238878154097378	-0.0475055742104372	-0.000270056609038428	0.0474863016529777	0.0775966209827998
mrna_splicing_not_selected	selected against	translation	comparator	translation	+ proliferation + splicing	107	365	-0.00848661817183662	-0.0366634675257535	0.0196902311820803	0.551452341890459	0.641986490559519
mrna_splicing_not_selected	selected against	metabolism_of_rna	splicing	splicing	+ proliferation + Metabolism of RNA	107	82	-0.0183155158144687	-0.0395019516398602	0.0028709200109229	0.0894110780890135	0.113795917567835
mrna_splicing_not_selected	selected against	metabolism_of_rna	comparator	metabolism_of_rna	+ proliferation + splicing	107	671	-0.00506727805620455	-0.0239778062088146	0.0138432500964055	0.596130312662411	0.641986490559519
mrna_splicing_not_selected	selected against	rrna_processing	splicing	splicing	+ proliferation + rRNA processing	107	81	-0.0256962365343904	-0.0495234300576238	-0.00186904301115702	0.0348235660872585	0.069647132174517
mrna_splicing_not_selected	selected against	rrna_processing	comparator	rrna_processing	+ proliferation + splicing	107	230	-0.0066885046447113	-0.0375918963736155	0.0242148870841929	0.668529374128134	0.668529374128134
premrna_processing_not_selected	selected against		splicing	splicing	technical covariates only	107	109	-0.0342384566385935	-0.057490595119481	-0.010986318157706	0.00430408146046785	0.0150642851116375
premrna_processing_not_selected	selected against	translation	comparator	translation	technical covariates only	107	362	-0.0683725126166098	-0.101810109500489	-0.0349349157327304	9.83142881086153e-05	0.000574998395053837
premrna_processing_not_selected	selected against	metabolism_of_rna	comparator	metabolism_of_rna	technical covariates only	107	644	-0.0808328300711964	-0.113838939178117	-0.047826720964276	4.34185761771696e-06	6.07860066480374e-05
premrna_processing_not_selected	selected against	rrna_processing	comparator	rrna_processing	technical covariates only	107	228	-0.0751481516063521	-0.112466973016721	-0.0378293301959832	0.000123213941797251	0.000574998395053837
premrna_processing_not_selected	selected against		splicing	splicing	+ proliferation score	107	109	-0.0324382999505467	-0.0578734029330897	-0.00700319696800372	0.0129590596379725	0.036285366986323
premrna_processing_not_selected	selected against	translation	comparator	translation	+ proliferation score	107	362	-0.0317277702742698	-0.0633887046746154	-6.68358739243369e-05	0.0495274918901022	0.0990549837802044
premrna_processing_not_selected	selected against	metabolism_of_rna	comparator	metabolism_of_rna	+ proliferation score	107	644	-0.0271792305531306	-0.0513137222760423	-0.00304473883021884	0.0276920440897626	0.0646147695427793
premrna_processing_not_selected	selected against	rrna_processing	comparator	rrna_processing	+ proliferation score	107	228	-0.0304328304452012	-0.0645881230266817	0.00372246213627929	0.0801535544474211	0.116963448565738
premrna_processing_not_selected	selected against	translation	splicing	splicing	+ proliferation + translation	107	106	-0.0209574861605494	-0.0447455925303829	0.00283062020928401	0.0835453204040984	0.116963448565738
premrna_processing_not_selected	selected against	translation	comparator	translation	+ proliferation + splicing	107	362	-0.0137264490058335	-0.042987824973129	0.0155349269614621	0.35422542992546	0.413263001579704
premrna_processing_not_selected	selected against	metabolism_of_rna	splicing	splicing	+ proliferation + Metabolism of RNA	107	109	-0.0138222928310756	-0.0337320965101789	0.0060875108480277	0.171453527136959	0.218213579992493
premrna_processing_not_selected	selected against	metabolism_of_rna	comparator	metabolism_of_rna	+ proliferation + splicing	107	644	-0.00717523371743441	-0.0261934022930026	0.0118429348581338	0.455866257716571	0.490932892925538
premrna_processing_not_selected	selected against	rrna_processing	splicing	splicing	+ proliferation + rRNA processing	107	106	-0.0222777281172647	-0.0452308482895508	0.000675392055021325	0.0569943312319203	0.0997400796558605
premrna_processing_not_selected	selected against	rrna_processing	comparator	rrna_processing	+ proliferation + splicing	107	228	-0.0101238932731552	-0.0415721373792794	0.0213243508329689	0.524451643287874	0.524451643287874
