sample	line	cond	oxy	days	rate	prolif	splice	splice96
Sample_48	HC3	Control	21	100.2916667	0.16116724290481	-0.939716406022387	-0.570201394884094	-0.491756418264178
Sample_11	SURF1_2	Control	21	69	0.163737295361444	-0.9335781587552	-0.44520907784867	-0.42413374053261
Sample_41	HC2	Control	21	182.0833333	0.17158136083109	-0.651612053082141	-0.566562531151524	-0.493767715129834
Sample_13	SURF1_2	Control	21	115.9166667	0.187961038029462	-1.39491996203854	-0.500837401268325	-0.326908344430931
Sample_3	SURF1_1	Control	21	55.04166667	0.196794720099993	-1.06480195460474	-0.338638985821857	-0.284164513998025
Sample_27	HC1	Control	21	115	0.19709072589269	-0.476680932164212	-0.250400473736517	-0.287248047801427
Sample_326	HC2	Control	21	128.75	0.217247540591058	-0.840283910019864	-0.593193205886336	-0.988007043466929
Sample_5	SURF1_1	Control	21	85.08333333	0.229984741758135	-1.21972799326499	-0.950811994566252	-0.932839068502366
Sample_12	SURF1_2	Control	21	84	0.236297724586224	-0.892696080827752	-0.693491404388677	-0.560389889372102
Sample_211	HC1	Control	3	69.375	0.238528060986727	1.04445887999533	0.0824775409297549	0.0695201747920498
Sample_325	HC2	Control	21	121.9166667	0.249390519160318	-0.612112136608375	-0.566298646184244	-1.03430944519316
Sample_38	HC2	Control	21	115.3333333	0.252177028446711	-0.337730509412169	-0.264642715219628	-0.163585684381066
Sample_210	HC1	Control	3	55.25	0.257521709847608	-0.166639044895421	-0.187565909543847	-0.180784123989839
Sample_46	HC3	Control	21	70.125	0.275632967595145	-0.39350885612789	0.0589593662677839	0.17512262972559
Sample_324	HC2	Control	21	114.75	0.285634842639569	-0.435724334549768	-0.517602301689761	-0.969506695246077
Sample_26	HC1	Control	21	98.08333333	0.314486038957327	-0.500285629068737	-0.46024850691341	-0.488937581174217
Sample_10	SURF1_2	Control	21	53.875	0.319871796791282	-1.08800714731058	-0.560685114792551	-0.463655911439598
Sample_188	HC1	Control	21	69.25	0.3371575091332	-0.870884462405063	-0.370822156056724	-0.339247594118515
Sample_323	HC2	Control	21	107.7083333	0.34411722166415	-0.516025351280382	-0.308621817142865	-0.673230557593949
Sample_187	HC1	Control	21	62.33333333	0.356555576628007	-0.98893106455473	-0.246053005293309	-0.267732060787572
